Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-09-18
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,9;28,3;22;2,1;
2015-01-02;17,8;26,8;19,7;2,4;
2015-01-03;0;29;18,3;1,9;
2015-01-04;0;32,1;17,8;2,1;
2015-01-05;0;33,5;19,1;2,2;
2015-01-06;0;37;23,1;2;
2015-01-07;0;35,1;23,3;2,2;
2015-01-08;18,4;26,1;22,6;,8;
2015-01-09;22;32,6;22,7;1,3;
2015-01-10;10;33,8;23,1;1,8;
2015-01-11;0;34,2;23,7;1,6;
2015-01-12;0;33,4;25,2;2,5;
2015-01-13;0;36,2;23,5;1,9;
2015-01-14;26,7;29,1;23;2,2;
2015-01-15;15,4;26;22,4;2,6;
2015-01-16;,1;30,1;22,4;1,4;
2015-01-17;,1;29,2;24,7;1,5;
2015-01-18;5,1;29,7;24,8;2,4;
2015-01-19;0;34,3;22,6;1,1;
2015-01-20;0;28,4;20,4;2,5;
2015-01-21;26,1;26,7;19,7;2,3;
2015-01-22;0;26,6;17,8;3,4;
2015-01-23;0;29,1;18,7;2;
2015-01-24;0;32,4;18,9;1,8;
2015-01-25;0;33,5;21,4;2,4;
2015-01-26;0;32,8;23,1;2,6;
2015-01-27;0;36,1;23,8;2,2;
2015-01-28;0;34,6;24;1;
2015-01-29;7,2;25,7;22,3;2,3;
2015-01-30;6,6;28,3;17,9;2,7;
2015-01-31;0;26,9;19,4;2,9;
2015-02-01;3,9;30,8;20,3;2,3;
2015-02-02;0;32,8;21,8;2;
2015-02-03;0;31,8;22,4;3;
2015-02-04;0;30;22,3;3,5;
2015-02-05;0;29,2;21,4;2,6;
2015-02-06;11,6;28,8;21;3,2;
2015-02-07;,8;29,5;19,5;2,3;
2015-02-08;0;31,2;17,9;2,1;
2015-02-09;0;33,2;20,3;1,6;
2015-02-10;,8;34,8;20,8;1,6;
2015-02-11;11,2;27,9;22,8;1,6;
2015-02-12;12,7;32,2;22,9;1,4;
2015-02-13;0;30,5;23,9;2,8;
2015-02-14;0;26,1;21,6;3,9;
2015-02-15;0;27,8;21,3;3,1;
2015-02-16;0;27,7;20,9;2,5;
2015-02-17;0;29,7;19,8;3;
2015-02-18;,4;31;20,5;2,6;
2015-02-19;0;33,4;22,3;1,3;
2015-02-20;2,4;27;21,8;1,8;
2015-02-21;,7;28,4;21,1;2,3;
2015-02-22;,2;29,8;22;1,2;
2015-02-23;0;30,8;22;1,2;
2015-02-24;19,7;30,6;21,2;1,2;
2015-02-25;,2;33,3;20,1;1,8;
2015-02-26;21,4;30,7;21,4;1,5;
2015-02-27;4,3;29,8;20,8;1,7;
2015-02-28;4,7;27,7;18,7;3,7;
2015-03-01;0;30,6;19,2;2,4;
2015-03-02;0;31,6;20,4;1,6;
2015-03-03;0;35;22,5;2,4;
2015-03-04;0;34,1;22,6;1,8;
2015-03-05;30,3;28,5;23,4;1,5;
2015-03-06;2,1;29,8;21,3;2,3;
2015-03-07;0;29,1;19,6;2,8;
2015-03-08;0;31,4;20,8;2,8;
2015-03-09;0;30,8;23,2;2,6;
2015-03-10;,7;27;22,4;3,1;
2015-03-11;5,3;29,2;21,4;3,3;
2015-03-12;0;29,8;20,2;2,1;
2015-03-13;0;31,6;20,6;1,8;
2015-03-14;0;33,4;21,3;1,7;
2015-03-15;0;31,1;22,6;1,8;
2015-03-16;0;30,7;23,6;2,7;
2015-03-17;0;30;19,2;2,3;
2015-03-18;0;29,8;18,4;2,6;
2015-03-19;0;31,4;18,4;2,2;
2015-03-20;0;32,1;20,1;1,2;
2015-03-21;0;27,4;20,9;1,9;
2015-03-22;0;25,8;15,6;1,9;
2015-03-23;,1;26,3;15,7;1,9;
2015-03-24;0;29,8;17,6;2,1;
2015-03-25;0;31,3;19,8;1,3;
2015-03-26;2,4;27;20,2;2,2;
2015-03-27;,4;25,9;18,5;1,4;
2015-03-28;0;26,4;16,5;2,6;
2015-03-29;0;26,1;19,4;2;
2015-03-30;11,5;26;19,1;1,8;
2015-03-31;,1;26,2;19,4;1,9;
2015-04-01;1,3;28,8;17,7;1,8;
2015-04-02;0;29,8;16,5;,9;
2015-04-03;0;32,6;16,1;1,5;
2015-04-04;0;32;19;1,4;
2015-04-05;,3;25,6;20;1;
2015-04-06;11,6;24,9;18,5;3,4;
2015-04-07;,1;26;14,2;1,4;
2015-04-08;0;28,4;15,1;1,6;
2015-04-09;0;29,4;16,2;1,6;
2015-04-10;0;30,2;16,9;1,2;
2015-04-11;0;30,6;16,4;1,3;
2015-04-12;0;24,9;19,5;1,9;
2015-04-13;9;27,9;16,5;2,8;
2015-04-14;0;31,1;18,5;1,2;
2015-04-15;,9;25,6;21;1,7;
2015-04-16;3,5;26;20;3,2;
2015-04-17;0;28,9;19,3;2;
2015-04-18;21,7;25,3;18,5;1,2;
