Nome: PORTO ALEGRE- BELEM NOVO
Codigo Estacao: B807
Latitude: -30.1861111
Longitude: -51.17805554
Altitude: 3.3
Situacao: Operante
Data Inicial: 2022-12-07
Data Final: 2025-09-22
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2022-12-07;null;null;null;null;
2022-12-08;null;null;null;null;
2022-12-09;null;32.3;17.4;2.4;
2022-12-10;0;30.1;18.3;2.2;
2022-12-11;0;31.8;22.7;2.8;
2022-12-12;0;37.3;19.9;2.9;
2022-12-13;6.8;25.3;17.6;3.7;
2022-12-14;0;28.3;14.1;2.7;
2022-12-15;0;32.6;15.4;2.2;
2022-12-16;0;25.3;19.9;5;
2022-12-17;0;25.9;14.4;3.2;
2022-12-18;0;23.5;18.5;4.5;
2022-12-19;4.8;24.9;18.1;4.7;
2022-12-20;.2;27.9;18.8;4.4;
2022-12-21;0;28.8;18.6;4.3;
2022-12-22;0;28.9;19.4;4.4;
2022-12-23;0;32.1;18.2;3.3;
2022-12-24;0;32.6;17.1;2.2;
2022-12-25;0;28.2;17.3;3;
2022-12-26;0;23.6;21.3;3.6;
2022-12-27;3.8;27;15.7;2.6;
2022-12-28;16.8;25.7;16.5;2.9;
2022-12-29;0;27.4;18.7;3.1;
2022-12-30;0;31.6;15;2;
2022-12-31;0;35.2;17.6;2.3;
2023-01-01;0;36;18.7;2.5;
2023-01-02;0;33.7;23.4;1.8;
2023-01-03;0;28.4;20.9;3.8;
2023-01-04;0;31.6;19;2.2;
2023-01-05;0;31.3;16.6;2.9;
2023-01-06;1.6;29.6;18.7;4.1;
2023-01-07;0;29.3;17.4;4.1;
2023-01-08;0;28.9;18.5;3.9;
2023-01-09;0;30.7;18.9;3.5;
2023-01-10;0;31.1;18.4;2.2;
2023-01-11;1.8;35.4;16.3;1.9;
2023-01-12;0;35.8;18.6;2.5;
2023-01-13;0;32.6;23.2;1.9;
2023-01-14;0;28.7;22.5;2.8;
2023-01-15;0;26;22.2;2.8;
2023-01-16;.2;31;19.4;3.3;
2023-01-17;0;30.8;20;3.9;
2023-01-18;0;27.4;22;3.9;
2023-01-19;0;29.2;22.7;4.3;
2023-01-20;0;32.7;22.5;3.8;
2023-01-21;0;35.6;20.6;2.1;
2023-01-22;5.4;33;22.2;2.1;
2023-01-23;0;34.2;19.4;1.7;
2023-01-24;0;33;19.7;2.3;
2023-01-25;0;34.1;21.4;3;
2023-01-26;0;36.2;24.1;3.7;
2023-01-27;7.8;34;21;1.9;
2023-01-28;.2;35.5;21.5;2.1;
2023-01-29;83.6;29.8;20.6;3.3;
2023-01-30;.2;31.7;20.3;2.2;
2023-01-31;0;33;20.5;2.2;
2023-02-01;0;32.1;20.9;2.2;
2023-02-02;0;31.4;21;2.9;
2023-02-03;0;28.6;24.2;1.8;
2023-02-04;37.6;27.5;22.5;2.4;
2023-02-05;4.8;28.8;17.8;2.3;
2023-02-06;.2;31.3;20.6;1.7;
2023-02-07;.2;31.4;18.4;2.5;
2023-02-08;0;32.5;19.5;2.7;
2023-02-09;0;31.3;22.5;2.4;
2023-02-10;.2;32.4;20.4;2.5;
2023-02-11;0;32;18.5;2.2;
2023-02-12;0;32.5;18.9;2.4;
2023-02-13;0;37.7;20.7;2.1;
2023-02-14;0;35.3;22.8;2.5;
2023-02-15;50.8;27;20.9;1.9;
2023-02-16;17.6;31.6;19.8;1.7;
2023-02-17;8.6;26.1;20.7;3;
2023-02-18;0;22.4;14.1;2.4;
2023-02-19;0;25.9;10.6;2.9;
2023-02-20;0;25.3;16.7;1.9;
2023-02-21;13.6;27;19.4;1.9;
2023-02-22;.2;28.1;17;2.4;
2023-02-23;0;29.7;19.4;1.9;
2023-02-24;0;25.9;21.4;1.5;
2023-02-25;.8;26.6;19.3;1.5;
2023-02-26;17.2;30.5;18.8;1.1;
2023-02-27;0;29.1;18.6;1.8;
2023-02-28;0;30.7;17.7;1.8;
2023-03-01;0;31.3;20.2;2.2;
2023-03-02;0;31.5;19.8;1.3;
2023-03-03;0;28;21.3;.9;
2023-03-04;9.2;30.3;22.1;1.6;
2023-03-05;22.2;27.6;22;4.2;
2023-03-06;3;27.3;22.2;3.5;
2023-03-07;7;29.4;21.2;1.7;
2023-03-08;3;32.5;21.6;1.6;
2023-03-09;1.4;31.8;21.4;2;
2023-03-10;0;30.9;22.1;2.5;
2023-03-11;0;30.6;21.5;2.4;
2023-03-12;0;31.3;20.4;3;
2023-03-13;0;31.6;21.8;3;
2023-03-14;0;33.4;22.1;2.1;
2023-03-15;0;31.2;21.8;2.4;
2023-03-16;0;31.8;22.2;2.5;
2023-03-17;0;32.1;21.5;1.8;
2023-03-18;0;32.5;20.3;1.7;
2023-03-19;0;31.9;17.9;1.5;
2023-03-20;0;34.5;21;1.4;
2023-03-21;40.4;27.8;20.3;2.2;
2023-03-22;.2;28.3;22.5;3.6;
2023-03-23;0;31.7;21.7;2.8;
2023-03-24;0;28.6;21.9;2.3;
2023-03-25;.8;27.8;20.3;1.5;
2023-03-26;2.4;28.2;21.7;2.9;
2023-03-27;0;25.6;19.2;2.5;
2023-03-28;0;30.2;15.5;2.1;
2023-03-29;0;34.8;18.9;1.4;
2023-03-30;1.8;27.6;20.6;1.4;
2023-03-31;0;31.3;19.6;2.2;
2023-04-01;0;24;14.5;3.9;
2023-04-02;0;24.5;14.1;1.7;
2023-04-03;0;27.3;12.7;1.7;
2023-04-04;0;24.7;16.2;2;
2023-04-05;0;26.8;16.6;2.2;
2023-04-06;0;24.2;20.3;3.2;
2023-04-07;0;24.7;18.4;3.3;
2023-04-08;0;25.2;19;2.7;
2023-04-09;0;27.6;16.8;2;
2023-04-10;0;32.2;17.6;1.3;
2023-04-11;0;33.2;17.5;1.2;
2023-04-12;0;32.2;19.8;1.9;
2023-04-13;8;22.3;18.5;3;
2023-04-14;.4;21.5;17.6;3.9;
2023-04-15;0;23.6;15.9;2.8;
2023-04-16;0;26.4;17.7;1.6;
2023-04-17;33.4;21.4;17.8;2.8;
2023-04-18;0;24.1;14.8;1.2;
2023-04-19;0;19.5;14;3.2;
2023-04-20;0;21.3;10.9;2.5;
2023-04-21;0;23.3;10.2;1.9;
2023-04-22;0;25.6;12.7;1.3;
2023-04-23;0;25.2;11.4;1.8;
2023-04-24;0;27.6;14.9;1.8;
2023-04-25;0;26.6;17.6;1.4;
2023-04-26;8;24.9;17.3;1.1;
2023-04-27;.2;24.7;15.7;1.1;
2023-04-28;0;24.2;12.2;1.3;
2023-04-29;0;25.8;10.6;1.6;
2023-04-30;0;29.2;13.5;1.5;
2023-05-01;0;23.4;16.5;2.4;
2023-05-02;7.2;20;18.6;3.5;
2023-05-03;25.2;19.7;16.3;2.7;
2023-05-04;13.8;22.6;18.1;1.3;
2023-05-05;2.6;21;19.6;1;
2023-05-06;83.6;23.8;19.8;1.4;
2023-05-07;8.2;24.4;19.5;1.7;
2023-05-08;27.6;22.4;18;2.5;
2023-05-09;.8;23.2;14.3;1.7;
2023-05-10;0;21.6;11.1;1.3;
2023-05-11;0;19.5;10.5;2.4;
2023-05-12;1;20.1;11.5;1.4;
2023-05-13;.2;21.7;8.1;1.1;
2023-05-14;0;23.4;11.1;1.4;
2023-05-15;0;24.9;11.3;1.3;
2023-05-16;0;21.5;10.6;1.2;
2023-05-17;0;22.5;8.8;1.2;
2023-05-18;.2;25.9;9;.9;
2023-05-19;0;23.3;9.6;1;
2023-05-20;.2;24.3;12.5;1.2;
2023-05-21;0;21.7;15.5;1.1;
2023-05-22;.2;21.9;16.3;1;
2023-05-23;.2;26.8;13.4;.9;
2023-05-24;.2;28;13.7;1.2;
2023-05-25;0;26.4;14;1.1;
2023-05-26;0;28.2;14.4;1.6;
