product_id,seasonality
1196666|P,[]
1949962|P,[]
1516341|P,[]
1287063|P,"['September', 'October', 'November']"
1753634|P,"['May', 'June', 'July']"
1457894|P,[]
1321603|P,[]
1038806|P,"['March', 'April', 'May', 'June']"
1113134|P,"['January', 'February', 'March', 'April', 'May', 'June']"
1408666|P,[]
1415818|P,[]
1874560|P,[]
1047997|P,[]
1848821|P,[]
1198721|P,[]
1505435|P,"['July', 'August', 'September', 'October']"
1746892|P,[]
1483873|P,[]
1183644|P,[]
1543219|P,[]
1952128|P,"['October', 'November', 'December', 'January', 'February', 'March']"
1961227|P,[]
1667655|P,[]
1255269|P,[]
1045624|P,[]
1765916|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1814326|P,[]
1731212|P,[]
1544834|P,[]
1915651|P,[]
1860860|P,[]
1164746|P,[]
1010497|P,[]
1760599|P,[]
1802113|P,[]
1753189|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1936677|P,[]
1282783|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1870489|P,[]
1013121|P,[]
1749516|P,[]
1805443|P,"['June', 'July']"
1863316|P,[]
1913705|P,[]
1068521|P,[]
1288666|P,[]
1247956|P,[]
1682279|P,[]
1119767|P,[]
1161941|P,[]
1707605|P,[]
1665416|P,[]
1537667|P,[]
1186086|P,[]
1541228|P,[]
1392055|P,"['May', 'June', 'July', 'August']"
1637084|P,[]
1703453|P,[]
1714035|P,[]
1598886|P,[]
1666358|P,[]
1294514|P,[]
1897363|P,[]
1316016|P,[]
1819935|P,[]
1486906|P,[]
1707158|P,[]
1790038|P,[]
1156603|P,[]
1333278|P,[]
1192442|P,"['July', 'August', 'September']"
1790764|P,[]
1488205|P,[]
1224894|P,[]
1510276|P,"['August', 'September', 'October']"
1128027|P,[]
1491714|P,[]
1774922|P,[]
1112442|P,[]
1745707|P,[]
1994909|P,[]
1490710|P,[]
1316510|P,[]
1700078|P,[]
1086277|P,[]
1619968|P,[]
1301659|P,[]
1232337|P,[]
1469587|P,[]
1514684|P,[]
1731294|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1214039|P,[]
1391906|P,"['November', 'December', 'January', 'February', 'March', 'April', 'May']"
1768614|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1897186|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1019979|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1640366|P,[]
1092624|P,[]
1713386|P,"['May', 'June', 'July', 'August']"
1241377|P,[]
1168162|P,[]
1737859|P,[]
1921240|P,[]
1025598|P,"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"
1497262|P,[]
1625923|P,[]
1832469|P,[]
1493262|P,[]
1263001|P,[]
1366460|P,"['August', 'September', 'October', 'November']"
1706944|P,"['December', 'January', 'February', 'March', 'April']"
1510611|P,[]
1977613|P,[]
1306882|P,[]
1310756|P,"['June', 'July', 'August', 'September']"
1741383|P,[]
1905887|P,[]
1862558|P,"['June', 'July', 'August']"
1422362|P,[]
1979791|P,[]
1211774|P,"['July', 'August', 'September']"
1637610|P,"['September', 'October', 'November', 'December']"
1920147|P,[]
1595268|P,[]
1414127|P,"['August', 'September', 'October', 'November']"
1139658|P,[]
1786407|P,[]
1683407|P,[]
1212416|P,[]
1744344|P,[]
1081847|P,[]
1506984|P,[]
1914656|P,[]
1678386|P,[]
1521712|P,[]
1093592|P,[]
1939106|P,[]
1907143|P,[]
1277967|P,[]
1992397|P,[]
1174765|P,[]
1639661|P,[]
1179608|P,[]
1049385|P,[]
1783759|P,[]
1070691|P,"['April', 'May', 'June', 'July', 'August', 'September']"
1521069|P,"['July', 'August', 'September', 'October', 'November']"
1603323|P,[]
1980659|P,[]
1869627|P,[]
1283022|P,"['October', 'November', 'December']"
1618031|P,[]
1934187|P,[]
1195161|P,[]
1405364|P,"['June', 'July', 'August', 'September']"
1165081|P,[]
1846271|P,[]
1021354|P,[]
1966948|P,[]
1416821|P,"['June', 'July', 'August']"
1033235|P,[]
1304469|P,[]
1504086|P,[]
1335056|P,[]
1523439|P,[]
1108130|P,[]
1349678|P,[]
1048863|P,[]
1497943|P,[]
1409083|P,"['June', 'July', 'August', 'September']"
